Data;Vendedor;Venda;Valor_Medio;Valor_Total
01/01/2023;Ana Silva;12;1250;15000
01/01/2023;Carlos Santos;8;980;7840
01/01/2023;Mariana Oliveira;15;1120;16800
01/01/2023;João Pereira;10;890;8900
01/01/2023;Rafael Costa;18;1350;24300
01/01/2023;Juliana Ferreira;14;1180;16520
01/01/2023;Pedro Almeida;7;1050;7350
02/01/2023;Ana Silva;16;1220;19520
02/01/2023;Carlos Santos;9;950;8550
02/01/2023;Mariana Oliveira;20;1400;28000
02/01/2023;João Pereira;13;1150;14950
02/01/2023;Rafael Costa;11;1100;12100
02/01/2023;Juliana Ferreira;17;1280;21760
02/01/2023;Pedro Almeida;6;920;5520
03/01/2023;Ana Silva;22;1480;32560
03/01/2023;Carlos Santos;15;1200;18000
03/01/2023;Mariana Oliveira;9;1080;9720
03/01/2023;João Pereira;14;1240;17360
03/01/2023;Rafael Costa;12;980;11760
03/01/2023;Juliana Ferreira;19;1420;26980
03/01/2023;Pedro Almeida;10;1100;11000
04/01/2023;Ana Silva;16;1250;20000
04/01/2023;Carlos Santos;8;950;7600
04/01/2023;Mariana Oliveira;15;1320;19800
04/01/2023;João Pereira;11;1150;12650
04/01/2023;Rafael Costa;17;1380;23460
04/01/2023;Juliana Ferreira;13;1180;15340
04/01/2023;Pedro Almeida;9;1020;9180
05/01/2023;Ana Silva;20;1450;29000
05/01/2023;Carlos Santos;14;1280;17920
05/01/2023;Mariana Oliveira;6;980;5880
05/01/2023;João Pereira;12;1150;13800
05/01/2023;Rafael Costa;18;1320;23760
05/01/2023;Juliana Ferreira;10;1050;10500
05/01/2023;Pedro Almeida;15;1280;19200
06/01/2023;Ana Silva;7;890;6230
06/01/2023;Carlos Santos;19;1400;26600
06/01/2023;Mariana Oliveira;11;1120;12320
06/01/2023;João Pereira;16;1350;21600
06/01/2023;Rafael Costa;8;980;7840
06/01/2023;Juliana Ferreira;13;1180;15340
06/01/2023;Pedro Almeida;21;1520;31920
07/01/2023;Ana Silva;9;1050;9450
07/01/2023;Carlos Santos;17;1380;23460
07/01/2023;Mariana Oliveira;12;1200;14400
07/01/2023;João Pereira;14;1250;17500
07/01/2023;Rafael Costa;10;1100;11000
07/01/2023;Juliana Ferreira;18;1420;25560
07/01/2023;Pedro Almeida;7;920;6440
08/01/2023;Ana Silva;15;1300;19500
08/01/2023;Carlos Santos;22;1490;32780
08/01/2023;Mariana Oliveira;11;1100;12100
08/01/2023;João Pereira;18;1380;24840
08/01/2023;Rafael Costa;9;970;8730
08/01/2023;Juliana Ferreira;16;1270;20320
08/01/2023;Pedro Almeida;13;1180;15340
09/01/2023;Ana Silva;8;950;7600
09/01/2023;Carlos Santos;19;1420;26980
09/01/2023;Mariana Oliveira;12;1130;13560
09/01/2023;João Pereira;15;1290;19350
09/01/2023;Rafael Costa;7;930;6510
09/01/2023;Juliana Ferreira;20;1450;29000
09/01/2023;Pedro Almeida;10;1050;10500
10/01/2023;Ana Silva;17;1350;22950
10/01/2023;Carlos Santos;14;1210;16940
10/01/2023;Mariana Oliveira;9;980;8820
10/01/2023;João Pereira;21;1480;31080
10/01/2023;Rafael Costa;11;1090;11990
10/01/2023;Juliana Ferreira;16;1320;21120
10/01/2023;Pedro Almeida;8;960;7680
11/01/2023;Ana Silva;18;1390;25020
11/01/2023;Carlos Santos;13;1170;15210
11/01/2023;Mariana Oliveira;10;1010;10100
11/01/2023;João Pereira;22;1500;33000
11/01/2023;Rafael Costa;9;990;8910
11/01/2023;Juliana Ferreira;17;1360;23120
11/01/2023;Pedro Almeida;12;1140;13680
12/01/2023;Ana Silva;19;1430;27170
12/01/2023;Carlos Santos;14;1230;17220
12/01/2023;Mariana Oliveira;11;1070;11770
12/01/2023;João Pereira;20;1460;29200
12/01/2023;Rafael Costa;8;940;7520
12/01/2023;Juliana Ferreira;15;1310;19650
12/01/2023;Pedro Almeida;13;1190;15470
13/01/2023;Ana Silva;7;910;6370
13/01/2023;Carlos Santos;18;1410;25380
13/01/2023;Mariana Oliveira;10;1030;10300
13/01/2023;João Pereira;16;1340;21440
13/01/2023;Rafael Costa;12;1160;13920
13/01/2023;Juliana Ferreira;21;1470;30870
13/01/2023;Pedro Almeida;9;1000;9000
14/01/2023;Ana Silva;14;1260;17640
14/01/2023;Carlos Santos;11;1120;12320
